nombre,descripcion,precio,stock,tipo_producto,condicion,categoria_id
PC Gamer Entrada Athlon 3000G,"¡Potenciá tu setup con PC Gamer Entrada Athlon 3000G! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de PC Armada.

--- CARACTERÍSTICAS TÉCNICAS ---
• CPU: AMD Athlon 3000G
• RAM: 8GB DDR4
• Almacenamiento: 240GB SSD
• Gráficos: Radeon Vega 3

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",268.22,8,PC Armada,Nuevo,1
PC Gamer Ryzen 5 4600G,"¡Potenciá tu setup con PC Gamer Ryzen 5 4600G! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de PC Armada.

--- CARACTERÍSTICAS TÉCNICAS ---
• CPU: AMD Ryzen 5 4600G 6-Core
• RAM: 16GB DDR4 3200MHz
• Almacenamiento: 480GB SSD
• Gráficos: Radeon Graphics

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",321.59,3,PC Armada,Nuevo,1
PC Gamer i5 12400F RTX 3060,"¡Potenciá tu setup con PC Gamer i5 12400F RTX 3060! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de PC Armada.

--- CARACTERÍSTICAS TÉCNICAS ---
• CPU: Intel Core i5-12400F
• RAM: 16GB DDR4 3200MHz
• Almacenamiento: 1TB NVMe
• GPU: NVIDIA RTX 3060 12GB

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",728.02,8,PC Armada,Nuevo,1
PC Gamer Ryzen 7 5700X RTX 4070,"¡Potenciá tu setup con PC Gamer Ryzen 7 5700X RTX 4070! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de PC Armada.

--- CARACTERÍSTICAS TÉCNICAS ---
• CPU: AMD Ryzen 7 5700X 8-Core
• RAM: 32GB DDR4 3600MHz
• Almacenamiento: 1TB NVMe Gen4
• GPU: NVIDIA RTX 4070 12GB

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",1379.4,2,PC Armada,Nuevo,1
PC Extreme Ryzen 9 7900X RTX 4080,"¡Potenciá tu setup con PC Extreme Ryzen 9 7900X RTX 4080! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de PC Armada.

--- CARACTERÍSTICAS TÉCNICAS ---
• CPU: AMD Ryzen 9 7900X 12-Core
• RAM: 32GB DDR5 6000MHz
• Almacenamiento: 2TB NVMe Gen4
• GPU: NVIDIA RTX 4080 16GB

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",2682.18,1,PC Armada,Nuevo,1
PC Master i9 14900K RTX 4090,"¡Potenciá tu setup con PC Master i9 14900K RTX 4090! Una opción excelente dentro de la gama Alta, garantizando durabilidad y eficiencia en su categoría de PC Armada.

--- CARACTERÍSTICAS TÉCNICAS ---
• CPU: Intel Core i9-14900K 24-Core
• RAM: 64GB DDR5 6400MHz
• Almacenamiento: 4TB NVMe Gen4
• GPU: NVIDIA RTX 4090 24GB

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",3831.68,1,PC Armada,Nuevo,1
Motherboard A320M,"¡Potenciá tu setup con Motherboard A320M! Una opción excelente dentro de la gama Entrada, garantizando durabilidad y eficiencia en su categoría de Motherboards.

--- CARACTERÍSTICAS TÉCNICAS ---
• Socket: AM4
• Formato: Micro-ATX
• Memoria Máx: 64GB DDR4
• Puertos: 4x SATA, 1x M.2

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",67.05,19,Componente,Nuevo,3
Motherboard B450M,"¡Potenciá tu setup con Motherboard B450M! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Motherboards.

--- CARACTERÍSTICAS TÉCNICAS ---
• Socket: AM4
• Formato: Micro-ATX
• Memoria Máx: 128GB DDR4
• Soporte Overclock: Sí
• Puertos: 4x SATA, 1x M.2 NVMe

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",86.9,18,Componente,Nuevo,3
Motherboard B660M,"¡Potenciá tu setup con Motherboard B660M! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Motherboards.

--- CARACTERÍSTICAS TÉCNICAS ---
• Socket: LGA 1700
• Formato: Micro-ATX
• Memoria Máx: 128GB DDR4
• PCIe: 4.0
• Puertos: 2x M.2 NVMe

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",134.11,8,Componente,Nuevo,3
Motherboard Z690,"¡Potenciá tu setup con Motherboard Z690! Una opción excelente dentro de la gama Media, garantizando durabilidad y eficiencia en su categoría de Motherboards.

--- CARACTERÍSTICAS TÉCNICAS ---
• Socket: LGA 1700
• Formato: ATX
• Memoria Máx: 128GB DDR5
• Soporte Overclock: Extremo
• PCIe: 5.0
• M.2: 4x NVMe

Estado: NUEVO. Producto 100% original, entregado en su caja sellada con garantía completa de fábrica.",236.06,13,Componente,Nuevo,3
